id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
11725379,Loft in Athina · 1 bedroom · 3 beds · 1 bath,27796497,Fotis,,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.97937,23.72903,Entire home/apt,65,2,1,7/3/2016,0.01,1,0,0,
11646666,Rental unit in Athina · ★4.89 · 1 bedroom · 1 bed · 1 bath,75330319,Kyriakos,,ΝΕΟΣ ΚΟΣΜΟΣ,37.95954,23.72438,Entire home/apt,70,1,63,7/24/2023,0.69,7,335,4,1989320
11731014,Rental unit in Athens · ★4.98 · 2 bedrooms · 3 beds · 1 bath,10581143,Pagona,,ΚΟΛΩΝΑΚΙ,37.97791672,23.75042725,Entire home/apt,172,1,81,9/16/2023,1.07,10,339,56,1241643
11732378,Rental unit in Athina · ★4.73 · 1 bedroom · 1 bed · 1 bath,62404202,Susanna,,ΝΕΟΣ ΚΟΣΜΟΣ,37.96423,23.73432,Entire home/apt,48,3,15,9/22/2019,0.16,1,248,0,347439
11661741,Rental unit in Athina · ★4.91 · 2 bedrooms · 3 beds · 2.5 baths,54443805,Housefull,,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.97376,23.72943,Entire home/apt,270,2,236,9/16/2023,2.64,3,38,37,1540584
11670340,Rental unit in Athina · ★4.92 · 2 bedrooms · 4 beds · 1 bath,289218292,Danai,,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.97737,23.7314,Entire home/apt,164,3,127,9/4/2023,1.44,4,239,22,1388674
11754850,Rental unit in Athina · ★4.77 · 1 bedroom · 1 bed · 1 bath,62510288,Κατερίνα,,ΑΚΡΟΠΟΛΗ,37.96812,23.71329,Entire home/apt,23,25,101,2/15/2023,1.11,1,0,2,486508
11670774,Rental unit in Athina · ★4.96 · 2 bedrooms · 4 beds · 1 bath,289218292,Danai,,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.97562,23.72911,Entire home/apt,169,3,75,8/30/2023,0.85,4,161,20,1388606
11800815,Rental unit in Athina · ★4.91 · Studio · 1 bed · 1 bath,62776805,Michael-Gabriel,,ΜΟΥΣΕΙΟ-ΕΞΑΡΧΕΙΑ-ΝΕΑΠΟΛΗ,37.98951,23.73695,Entire home/apt,30,1,200,9/19/2023,2.25,1,322,28,94952
11673102,Rental unit in Athina · 1 bedroom · 3 beds · 1 bath,5979370,Stacy / Anastasia,,ΑΚΡΟΠΟΛΗ,37.96912,23.72873,Entire home/apt,56,7,0,,,1,0,0,
11807280,Rental unit in Athina · 2 bedrooms · 3 beds · 1 bath,62886952,Αννα,,ΑΝΩ ΠΑΤΗΣΙΑ,38.01812,23.73452,Entire home/apt,60,3,0,,,1,0,0,
11816743,Rental unit in Athina · 1 bedroom · 1 bed · 1 bath,62933242,Ageliki,,ΑΜΠΕΛΟΚΗΠΟΙ,37.98999,23.75994,Entire home/apt,70,2,0,,,1,0,0,
11821517,Rental unit in Athina · ★4.92 · 2 bedrooms · 3 beds · 1 bath,58075732,Georgia,,ΚΟΥΚΑΚΙ-ΜΑΚΡΥΓΙΑΝΝΗ,37.96851,23.7306,Entire home/apt,90,5,131,7/11/2023,1.44,1,319,6,416530
11691209,Rental unit in Athina · ★4.79 · 1 bedroom · 3 beds · 1 bath,46631710,Maria,,ΑΜΠΕΛΟΚΗΠΟΙ,37.99162,23.77173,Entire home/apt,31,1,159,1/28/2020,1.75,2,340,0,16882
11823861,Rental unit in  koukaki · ★4.82 · 2 bedrooms · 4 beds · 1 bath,62982756,Spiros,,ΝΕΟΣ ΚΟΣΜΟΣ,37.96637,23.73053,Entire home/apt,77,2,203,8/13/2023,2.26,12,15,11,1621544
11828808,Rental unit in Athina · ★4.91 · 2 bedrooms · 2 beds · 1.5 baths,63017384,Stathis,,ΚΟΛΩΝΑΚΙ,37.97669,23.7441,Entire home/apt,35,3,22,10/6/2020,0.39,1,0,0,111516
11839044,Rental unit in Athens · ★4.96 · 1 bedroom · 1 bed · 1 shared bath,21934867,Willian,,ΝΕΟΣ ΚΟΣΜΟΣ,37.96118,23.73015,Private room,40,2,367,9/14/2023,4.04,2,104,50,1177712
12878761,Rental unit in Athina · ★4.74 · 2 bedrooms · 2 beds · 1 bath,21953270,Stelios,,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.9758,23.72518,Entire home/apt,65,1,359,9/15/2023,4.01,3,298,77,1768512
11857429,Condo in Athina · ★4.95 · 1 bedroom · 1 bed · 1 bath,63201250,Myrsini,,ΑΓΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ-ΠΛΑΤΕΙΑ ΒΑΘΗΣ,37.989532,23.72261,Entire home/apt,71,3,153,9/12/2023,1.81,1,324,25,147520
11880078,Rental unit in Athina · ★4.78 · Studio · 1 bed · 1 bath,8598734,Thodoris,,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.97714,23.72499,Entire home/apt,51,1,551,9/7/2023,6.05,4,272,91,1354427
12893692,Rental unit in Athina · ★4.54 · 1 bedroom · 1 bed · 1 bath,70600658,Stefania,,ΣΤΑΘΜΟΣ ΛΑΡΙΣΗΣ,37.99866,23.72045,Entire home/apt,28,10,106,7/26/2023,1.22,1,318,5,143560
11899423,Rental unit in Athens · ★4.97 · 1 bedroom · 1 bed · 1 bath,10581143,Pagona,,ΚΟΛΩΝΑΚΙ,37.97792435,23.75047493,Entire home/apt,132,1,62,9/17/2023,0.7,10,326,44,1241718
11901130,Condo in Athina · ★4.92 · 1 bedroom · 1 bed · 1 bath,45467754,Marios,,ΑΚΡΟΠΟΛΗ,37.973023,23.7194696,Entire home/apt,71,2,13,9/14/2023,1.11,2,294,13,1772945
12901507,Rental unit in Athina · ★4.57 · 2 bedrooms · 2 beds · 1.5 baths,70675272,Iuliia,,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.98254,23.73286,Entire home/apt,42,1,504,9/3/2023,5.67,1,117,55,1186963
11903795,Rental unit in Athens · ★4.96 · 1 bedroom · 3 beds · 1 bath,63498295,Konstantinos,,ΚΟΥΚΑΚΙ-ΜΑΚΡΥΓΙΑΝΝΗ,37.96776,23.72866,Entire home/apt,120,4,140,9/14/2023,1.65,1,219,15,321090
11908173,Rental unit in Αθήνα · ★4.84 · 2 bedrooms · 2 beds · 1 bath,60306354,Ioannis,,ΝΙΡΒΑΝΑ,38.0078,23.72749,Entire home/apt,35,7,75,8/20/2023,0.83,3,161,3,70420
12909612,Rental unit in Αθήνα · ★4.88 · 1 bedroom · 1 bed · 1 bath,70761490,Daphne,,ΓΚΥΖΗ,37.99366,23.74907,Entire home/apt,35,4,33,10/17/2021,0.39,1,0,0,205926
11922831,Condo in Athina · ★4.92 · 1 bedroom · 2 beds · 1 bath,58499081,Maria,,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.97658,23.72847,Entire home/apt,99,2,470,9/11/2023,5.25,2,289,61,1504710
11937600,Rental unit in Athina · ★4.87 · Studio · 2 beds · 1 bath,24393216,Irene,,ΚΟΛΩΝΑΚΙ,37.9813,23.75191,Entire home/apt,40,4,48,10/3/2021,0.53,1,81,0,91187
12911092,Rental unit in Athina · ★4.92 · 2 bedrooms · 3 beds · 1 bath,70098739,John,,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.97329,23.73116,Entire home/apt,80,2,60,10/28/2019,0.71,1,0,0,381855
12913295,Rental unit in Athina · ★4.86 · Studio · 1 bed · 1 bath,22057402,Liana & Theodosios,,ΣΤΑΔΙΟ,37.96602,23.73473,Entire home/apt,78,1,421,9/15/2023,4.72,3,244,40,2150482
11942195,Rental unit in Athina · ★4.74 · 1 bedroom · 1 bed · 1 bath,54024405,Aris And Dimitra,,ΚΟΛΩΝΟΣ,37.99727,23.71333,Entire home/apt,25,2,130,12/17/2022,1.43,3,0,5,388840
11979262,Rental unit in Athina · ★4.93 · 2 bedrooms · 5 beds · 1 bath,64015974,Veronica,,ΓΟΥΒΑ,37.96151,23.74315,Entire home/apt,55,3,127,9/11/2023,1.92,4,0,21,128698
